acct_id,dsply_nm,type,acct_stat,acct_rptng_crncy,prior_sar_count,branch_id,open_dt,close_dt,initial_deposit,tx_behavior_id,bank_id,country,zip
A000000,Account 000000,SAV,A,USD,False,0,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,72769.46,5,B00,US,10000
A000001,Account 000001,SAV,A,USD,False,1,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,51747.33,0,B01,US,10001
A000002,Account 000002,SAV,A,USD,False,2,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,72616.49,3,B02,US,10002
A000003,Account 000003,SAV,A,USD,False,3,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,51441.41,5,B03,US,10003
A000004,Account 000004,SAV,A,USD,False,4,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,58768.75,3,B04,US,10004
A000005,Account 000005,SAV,A,USD,False,5,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,60339.41,4,B00,US,10005
A000006,Account 000006,SAV,A,USD,False,6,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,65768.82,3,B01,US,10006
A000007,Account 000007,SAV,A,USD,False,7,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,73369.52,4,B02,US,10007
A000008,Account 000008,SAV,A,USD,False,8,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,63368.46,1,B03,US,10008
A000009,Account 000009,SAV,A,USD,False,9,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,84726.71,0,B04,US,10009
A000010,Account 000010,SAV,A,USD,False,10,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,69374.32,0,B00,US,10010
A000011,Account 000011,SAV,A,USD,False,11,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,89801.72,1,B01,US,10011
A000012,Account 000012,SAV,A,USD,False,12,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,61119.22,5,B02,US,10012
A000013,Account 000013,SAV,A,USD,False,13,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,65963.82,4,B03,US,10013
A000014,Account 000014,SAV,A,USD,False,14,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,68075.23,3,B04,US,10014
A000015,Account 000015,SAV,A,USD,False,15,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,92828.56,3,B00,US,10015
A000016,Account 000016,SAV,A,USD,False,16,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,70050.07,5,B01,US,10016
A000017,Account 000017,SAV,A,USD,False,17,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,82416.72,3,B02,US,10017
A000018,Account 000018,SAV,A,USD,False,18,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,89449.80,1,B03,US,10018
A000019,Account 000019,SAV,A,USD,False,19,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,69152.47,1,B04,US,10019
A000020,Account 000020,SAV,A,USD,False,0,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,98723.43,1,B00,US,10020
A000021,Account 000021,SAV,A,USD,False,1,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,80309.39,1,B01,US,10021
A000022,Account 000022,SAV,A,USD,False,2,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,51485.20,0,B02,US,10022
A000023,Account 000023,SAV,A,USD,False,3,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,80396.69,0,B03,US,10023
A000024,Account 000024,SAV,A,USD,False,4,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,90266.00,5,B04,US,10024
A000025,Account 000025,SAV,A,USD,False,5,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,73688.07,2,B00,US,10025
A000026,Account 000026,SAV,A,USD,False,6,2017-01-01T00:00:00Z,2018-12-22T00:00:00Z,81515.38,5,B01,US,10026
