account_id,customer_name,balance,risk_score,creation_date
acc_0,Customer_0,84457.74,0.758,2023-01-01
acc_1,Customer_1,42115.1,0.2589,2023-01-01
acc_2,Customer_2,51176.34,0.4049,2023-01-01
acc_3,Customer_3,78401.48,0.3033,2023-01-01
acc_4,Customer_4,47712.04,0.5834,2023-01-01
acc_5,Customer_5,90820.48,0.5047,2023-01-01
acc_6,Customer_6,28255.6,0.7558,2023-01-01
acc_7,Customer_7,61875.06,0.2505,2023-01-01
acc_8,Customer_8,90983.65,0.9828,2023-01-01
acc_9,Customer_9,81040.7,0.9022,2023-01-01
acc_10,Customer_10,31083.74,0.7298,2023-01-01
acc_11,Customer_11,89893.94,0.684,2023-01-01
acc_12,Customer_12,47267.06,0.1007,2023-01-01
acc_13,Customer_13,43473.77,0.6109,2023-01-01
acc_14,Customer_14,91309.8,0.9666,2023-01-01
acc_15,Customer_15,47753.28,0.8653,2023-01-01
acc_16,Customer_16,26123.18,0.805,2023-01-01
acc_17,Customer_17,54915.06,0.014,2023-01-01
acc_18,Customer_18,71998.5,0.3988,2023-01-01
acc_19,Customer_19,82502.01,0.6682,2023-01-01
acc_20,Customer_20,214.17,0.4936,2023-01-01
acc_21,Customer_21,86773.52,0.2439,2023-01-01
acc_22,Customer_22,32587.92,0.8705,2023-01-01
acc_23,Customer_23,19187.6,0.5675,2023-01-01
acc_24,Customer_24,23937.73,0.9675,2023-01-01
acc_25,Customer_25,80337.63,0.448,2023-01-01
acc_26,Customer_26,8136.54,0.3201,2023-01-01
acc_27,Customer_27,50843.27,0.9328,2023-01-01
acc_28,Customer_28,10994.88,0.5513,2023-01-01
acc_29,Customer_29,70685.48,0.5474,2023-01-01
acc_30,Customer_30,81465.24,0.5403,2023-01-01
acc_31,Customer_31,96387.47,0.6032,2023-01-01
acc_32,Customer_32,58802.94,0.445,2023-01-01
acc_33,Customer_33,59669.06,0.3849,2023-01-01
acc_34,Customer_34,57607.54,0.2903,2023-01-01
acc_35,Customer_35,19020.19,0.1867,2023-01-01
acc_36,Customer_36,61316.04,0.6567,2023-01-01
acc_37,Customer_37,47705.45,0.0898,2023-01-01
acc_38,Customer_38,75784.63,0.8768,2023-01-01
acc_39,Customer_39,92345.76,0.8425,2023-01-01
acc_40,Customer_40,89827.49,0.9231,2023-01-01
acc_41,Customer_41,54105.93,0.3913,2023-01-01
acc_42,Customer_42,70557.81,0.2756,2023-01-01
acc_43,Customer_43,81181.71,0.8495,2023-01-01
acc_44,Customer_44,89514.39,0.5898,2023-01-01
acc_45,Customer_45,94981.51,0.5797,2023-01-01
acc_46,Customer_46,45111.25,0.6602,2023-01-01
acc_47,Customer_47,99626.16,0.9169,2023-01-01
acc_48,Customer_48,79353.18,0.0824,2023-01-01
acc_49,Customer_49,61317.03,0.4864,2023-01-01
acc_50,Customer_50,63051.72,0.8451,2023-01-01
acc_51,Customer_51,24379.26,0.7315,2023-01-01
acc_52,Customer_52,11801.72,0.2205,2023-01-01
acc_53,Customer_53,79478.84,0.3325,2023-01-01
acc_54,Customer_54,81609.72,0.1006,2023-01-01
acc_55,Customer_55,14721.21,0.6977,2023-01-01
acc_56,Customer_56,4618.88,0.5739,2023-01-01
acc_57,Customer_57,91010.6,0.5342,2023-01-01
acc_58,Customer_58,68090.85,0.0267,2023-01-01
acc_59,Customer_59,63536.49,0.6063,2023-01-01
acc_60,Customer_60,57637.7,0.3912,2023-01-01
acc_61,Customer_61,37076.98,0.9805,2023-01-01
acc_62,Customer_62,3735.56,0.0216,2023-01-01
acc_63,Customer_63,96107.02,0.185,2023-01-01
acc_64,Customer_64,12477.13,0.2106,2023-01-01
acc_65,Customer_65,80094.58,0.937,2023-01-01
acc_66,Customer_66,2375.98,0.4256,2023-01-01
acc_67,Customer_67,10239.87,0.2599,2023-01-01
acc_68,Customer_68,22160.84,0.6469,2023-01-01
acc_69,Customer_69,35094.37,0.1803,2023-01-01
acc_70,Customer_70,50413.29,0.0394,2023-01-01
acc_71,Customer_71,10182.03,0.9882,2023-01-01
acc_72,Customer_72,20015.64,0.3586,2023-01-01
acc_73,Customer_73,73186.67,0.8383,2023-01-01
acc_74,Customer_74,91856.36,0.1694,2023-01-01
acc_75,Customer_75,67296.79,0.9665,2023-01-01
acc_76,Customer_76,5899.29,0.6762,2023-01-01
acc_77,Customer_77,84557.92,0.3423,2023-01-01
acc_78,Customer_78,25143.67,0.5968,2023-01-01
acc_79,Customer_79,44287.17,0.1748,2023-01-01
acc_80,Customer_80,47215.38,0.4099,2023-01-01
acc_81,Customer_81,56954.36,0.5086,2023-01-01
acc_82,Customer_82,31213.46,0.3572,2023-01-01
acc_83,Customer_83,83782.35,0.2509,2023-01-01
acc_84,Customer_84,56103.96,0.0124,2023-01-01
acc_85,Customer_85,74183.28,0.3359,2023-01-01
acc_86,Customer_86,4665.08,0.2809,2023-01-01
acc_87,Customer_87,24089.03,0.9531,2023-01-01
acc_88,Customer_88,35287.33,0.2879,2023-01-01
acc_89,Customer_89,35984.2,0.9469,2023-01-01
acc_90,Customer_90,63411.41,0.6211,2023-01-01
acc_91,Customer_91,71590.37,0.388,2023-01-01
acc_92,Customer_92,41500.36,0.6508,2023-01-01
acc_93,Customer_93,252.27,0.1923,2023-01-01
acc_94,Customer_94,33506.73,0.2394,2023-01-01
acc_95,Customer_95,63776.2,0.3786,2023-01-01
acc_96,Customer_96,87554.8,0.5682,2023-01-01
acc_97,Customer_97,41499.2,0.4023,2023-01-01
acc_98,Customer_98,70212.78,0.4182,2023-01-01
acc_99,Customer_99,66253.37,0.0468,2023-01-01
acc_100,Customer_100,44590.68,0.2592,2023-01-01
acc_101,Customer_101,15852.89,0.5276,2023-01-01
acc_102,Customer_102,48777.83,0.5614,2023-01-01
acc_103,Customer_103,75572.93,0.8839,2023-01-01
acc_104,Customer_104,49508.81,0.3121,2023-01-01
acc_105,Customer_105,46742.53,0.809,2023-01-01
acc_106,Customer_106,87514.13,0.8124,2023-01-01
acc_107,Customer_107,18881.33,0.9994,2023-01-01
acc_108,Customer_108,63345.57,0.0835,2023-01-01
acc_109,Customer_109,72582.88,0.9868,2023-01-01
acc_110,Customer_110,40241.5,0.6785,2023-01-01
acc_111,Customer_111,31686.1,0.2135,2023-01-01
acc_112,Customer_112,71760.68,0.0024,2023-01-01
acc_113,Customer_113,82290.87,0.5283,2023-01-01
acc_114,Customer_114,9868.66,0.1189,2023-01-01
acc_115,Customer_115,64961.62,0.8737,2023-01-01
acc_116,Customer_116,28070.28,0.9785,2023-01-01
acc_117,Customer_117,10108.05,0.8539,2023-01-01
acc_118,Customer_118,39729.95,0.0813,2023-01-01
acc_119,Customer_119,27543.91,0.453,2023-01-01
acc_120,Customer_120,79254.92,0.8614,2023-01-01
acc_121,Customer_121,13428.71,0.5209,2023-01-01
acc_122,Customer_122,65113.25,0.3471,2023-01-01
acc_123,Customer_123,87199.2,0.2784,2023-01-01
acc_124,Customer_124,1955.58,0.0407,2023-01-01
acc_125,Customer_125,68131.58,0.5584,2023-01-01
acc_126,Customer_126,94655.61,0.9384,2023-01-01
acc_127,Customer_127,90994.13,0.042,2023-01-01
acc_128,Customer_128,74938.57,0.7013,2023-01-01
acc_129,Customer_129,65570.65,0.7124,2023-01-01
acc_130,Customer_130,90280.74,0.6401,2023-01-01
acc_131,Customer_131,37307.68,0.5379,2023-01-01
acc_132,Customer_132,20863.63,0.5871,2023-01-01
acc_133,Customer_133,988.82,0.151,2023-01-01
acc_134,Customer_134,33407.5,0.7896,2023-01-01
acc_135,Customer_135,71878.09,0.3383,2023-01-01
acc_136,Customer_136,62091.76,0.0412,2023-01-01
acc_137,Customer_137,16469.67,0.9819,2023-01-01
acc_138,Customer_138,29024.13,0.3948,2023-01-01
acc_139,Customer_139,54893.58,0.2934,2023-01-01
acc_140,Customer_140,47858.66,0.2397,2023-01-01
acc_141,Customer_141,4920.81,0.1796,2023-01-01
acc_142,Customer_142,52352.72,0.0709,2023-01-01
acc_143,Customer_143,40376.6,0.3285,2023-01-01
acc_144,Customer_144,41530.69,0.0994,2023-01-01
acc_145,Customer_145,90874.89,0.474,2023-01-01
acc_146,Customer_146,84100.75,0.9762,2023-01-01
acc_147,Customer_147,34430.79,0.4791,2023-01-01
acc_148,Customer_148,69989.57,0.4265,2023-01-01
acc_149,Customer_149,30260.12,0.7348,2023-01-01
acc_150,Customer_150,89450.54,0.9197,2023-01-01
acc_151,Customer_151,62711.53,0.3756,2023-01-01
acc_152,Customer_152,97458.6,0.6389,2023-01-01
acc_153,Customer_153,6676.88,0.0847,2023-01-01
acc_154,Customer_154,75011.97,0.0612,2023-01-01
acc_155,Customer_155,884.32,0.3938,2023-01-01
acc_156,Customer_156,51948.47,0.4485,2023-01-01
acc_157,Customer_157,48913.02,0.5849,2023-01-01
acc_158,Customer_158,67962.33,0.423,2023-01-01
acc_159,Customer_159,36896.31,0.9885,2023-01-01
acc_160,Customer_160,26165.56,0.7771,2023-01-01
acc_161,Customer_161,43178.98,0.3585,2023-01-01
acc_162,Customer_162,6479.41,0.8636,2023-01-01
acc_163,Customer_163,70230.21,0.903,2023-01-01
acc_164,Customer_164,45216.02,0.6769,2023-01-01
acc_165,Customer_165,11979.14,0.398,2023-01-01
acc_166,Customer_166,20802.47,0.0421,2023-01-01
acc_167,Customer_167,94801.34,0.2159,2023-01-01
acc_168,Customer_168,14720.81,0.198,2023-01-01
acc_169,Customer_169,37865.39,0.5464,2023-01-01
acc_170,Customer_170,15218.3,0.9887,2023-01-01
acc_171,Customer_171,98300.62,0.1484,2023-01-01
acc_172,Customer_172,40650.1,0.6799,2023-01-01
acc_173,Customer_173,87777.89,0.4954,2023-01-01
acc_174,Customer_174,91712.96,0.3225,2023-01-01
acc_175,Customer_175,49894.25,0.4986,2023-01-01
acc_176,Customer_176,67039.81,0.202,2023-01-01
acc_177,Customer_177,61016.08,0.2188,2023-01-01
acc_178,Customer_178,34088.01,0.9626,2023-01-01
acc_179,Customer_179,89910.9,0.8181,2023-01-01
acc_180,Customer_180,3643.28,0.1484,2023-01-01
acc_181,Customer_181,25762.5,0.7842,2023-01-01
acc_182,Customer_182,84249.1,0.5829,2023-01-01
acc_183,Customer_183,71841.35,0.8071,2023-01-01
acc_184,Customer_184,6729.28,0.0846,2023-01-01
acc_185,Customer_185,86902.64,0.0394,2023-01-01
acc_186,Customer_186,22586.56,0.0406,2023-01-01
acc_187,Customer_187,1626.99,0.844,2023-01-01
acc_188,Customer_188,33126.38,0.1607,2023-01-01
acc_189,Customer_189,14967.07,0.6561,2023-01-01
acc_190,Customer_190,96862.97,0.505,2023-01-01
acc_191,Customer_191,90118.94,0.5024,2023-01-01
acc_192,Customer_192,57429.86,0.6786,2023-01-01
acc_193,Customer_193,80530.49,0.7578,2023-01-01
acc_194,Customer_194,99054.2,0.747,2023-01-01
acc_195,Customer_195,90587.49,0.2061,2023-01-01
acc_196,Customer_196,53588.09,0.5986,2023-01-01
acc_197,Customer_197,82587.09,0.4822,2023-01-01
acc_198,Customer_198,79124.92,0.3886,2023-01-01
acc_199,Customer_199,58680.21,0.8513,2023-01-01
acc_200,Customer_200,79826.14,0.657,2023-01-01
acc_201,Customer_201,124.05,0.182,2023-01-01
acc_202,Customer_202,50735.09,0.2545,2023-01-01
acc_203,Customer_203,6655.52,0.8599,2023-01-01
acc_204,Customer_204,94300.41,0.3028,2023-01-01
acc_205,Customer_205,40866.51,0.81,2023-01-01
acc_206,Customer_206,6319.65,0.641,2023-01-01
acc_207,Customer_207,12819.35,0.2871,2023-01-01
acc_208,Customer_208,83011.07,0.0555,2023-01-01
acc_209,Customer_209,3689.79,0.4179,2023-01-01
acc_210,Customer_210,49233.91,0.8633,2023-01-01
acc_211,Customer_211,71747.16,0.6735,2023-01-01
acc_212,Customer_212,15222.24,0.9867,2023-01-01
acc_213,Customer_213,41172.91,0.6118,2023-01-01
acc_214,Customer_214,38729.63,0.047,2023-01-01
acc_215,Customer_215,47141.83,0.1514,2023-01-01
acc_216,Customer_216,3343.3,0.6174,2023-01-01
acc_217,Customer_217,63033.63,0.1053,2023-01-01
acc_218,Customer_218,54959.46,0.3467,2023-01-01
acc_219,Customer_219,38403.07,0.7764,2023-01-01
acc_220,Customer_220,49082.94,0.8813,2023-01-01
acc_221,Customer_221,61050.96,0.4672,2023-01-01
acc_222,Customer_222,63268.03,0.3379,2023-01-01
acc_223,Customer_223,12519.95,0.6825,2023-01-01
acc_224,Customer_224,62241.54,0.7886,2023-01-01
acc_225,Customer_225,12798.2,0.9118,2023-01-01
acc_226,Customer_226,79954.19,0.9169,2023-01-01
acc_227,Customer_227,87266.22,0.681,2023-01-01
acc_228,Customer_228,81044.06,0.519,2023-01-01
acc_229,Customer_229,78570.37,0.1891,2023-01-01
acc_230,Customer_230,78233.2,0.4446,2023-01-01
